Abide anıt 
Acayip garip
Acıma merhamet
Açıkgöz kurnaz
Ad isim
Adale kas
Adet tane
Adıl zamir
Adi bayağı
Aferin bravo
Affetmek bağışlamak
Ahenk uyum
Akıl us
Aksi ters
Al kırmızı
Alaka ilgi
Alaz alev
Alelade sıradan
Allah Tanrı
Ama fakat
Ama kör
Amaç erek
Amade hazır
Amale işçi
Amel iş
Ana anne
Anı hatıra
Anıt abide
Aniden birden
Aniden ansızın
Anlam mana
Anlatım ifade
Ant yemin
Apse iltihap
Araç vasıta
Arıza bozukluk
Arka geri
Armağan hediye
Art arka
Arzu istek
Asır yüzyıl
Asil soylu
Aş yemek
Aşırmak çalmak
Ata cet
Atak girişken
Atamak etmek
Atamak tayin
Atölye işlik
Avare aylak
Avare serseri
Avare aylak
Ayakyolu hela
Ayakyolu WC
Aylak serseri
Ayraç parantez
Ayrıcalık imtiyaz
Aza üye
Acemi toy
Adalet hak
Aka büyük
Aleni açık
Ara fasıla
Ayakkabı pabuç
Bağışlamak affetmek
Bağnaz yobaz
Bakış nazar
Barış sulh
Basımevi matbaa
Basit yalın
Başkaldırı isyan
Başkan reis
Başkent başşehir
Başvuru müracaat
Batı garp
Bayağı adi
Bayındır mamur
Bayındırlık imar
Baytar veteriner
Bazen kimi
Bedava parasız
Beden gövde
Beğeni zevk
Belde şehir
Belge vesika
Bellek hafıza
Bencil egoist
Benlik kişilik
Beraber birlikte
Bereket bolluk
Berrak duru
Besin gıda
Beyanat demeç
Beyaz ak
Beygir at
Beyhude boşuna
Biçare zavallı
Biçim şekil
Bilakis tersine
Bilgin alim
Bilgisiz cahil
Bilhassa özellikle
Bilim ilim
Bilgisiz cahil
Bilinç şuur
Bina yapı
Birden ani
Birdenbire aniden
Birey fert
Biricik tek
Bitki nebat
Boylam meridyen
Bozkır step
Bucak nahiye
Buğu buhar
Buhran bunalım
Buyruk emir
Büro ofis (yazıhane)
Büro yazıhane
Bacı kız kardeş
Baş kafa
Cahil bilgisiz
Caka gösteriş
Camekan vitrin
Canlı diri
Cazibe çekim
Cehalet bilgisizlik
Celse oturum
Cenk savaş
Cenup güney
Cerahat irin
Cerrah operatör
Cesur yürekli
Cet ata
Cevap yanıt
Ceviz koz
Cılız sıska
Ciddi ağırbaşlı
Cihaz aygıt
Cihet yön
Cilt ten
Cimri pinti
Cimri hasis
Cin tür
Civar yöre
Cömert eli açık
Cümle tümce
Cılız sıska
Ciddi ağırbaşlı
Cihaz aygıt
Cihet yön
Cilt ten
Cimri pinti
Cimri hasis
Cins tür
Civar yöre
Cömert eli açık
Cümle tümce
Çabuk acele
Çağ devir
Çağdaş uygar
Çağdaş modern
Çağrı davet
Çayır davet
Çehre yüz
Çeşit tür
Çeviri tercüme
Çığlık feryat
Çılgın deli
Çizelge cetvel
Çoğunluk ekseriyet
Çok fazla
Çamur balçık
Çare deva
Dahil iç
Daimi sürekli
Darbe vuruş
Dargın küs
Darılmak küsmek
Davet çağrı
Defa kez
Değer kıymet
Değerli kıymetli
Değnek sopa
Deli çılgın
Delil kanıt
Deneme tecrübe
Denetim kontrol
Deney tecrübe
Deprem zerzele
Dergi mecmua
Derhal hemen
Deri ten
Derslik sınıf
Devamlı sürekli
Devinim hareket
Devir çağ
Devir tur
Devre dönem
Dışalım ithalat
Dışsatım ihracat
Diğer başka
Dil lisan
Dilbilgisi gramer
Diri canlı
Dize mısra
Doğa tabiat
Doğal tabii
Doğu şark
Doktor hekim
Donuk mat
Doruk zirve
Dönemeç viraj
Döşek yatak
Duru berrak
Durum vaziyet
Duygu his
Düş rüya
Düşünce fikir
Düzen seviye
Düzmece sahte
Düzyazı nesir
Dilek istek
Dizi sıra
Dost arkadaş
Ebat boyut
Ebedi sonsuz
Ebeveyn baba
Ebeveyn Ana
Edat ilgeç
Efe zeybek
Egoist bencil
Ehemmiyet önem
Ek. İlave
Eklem mafsal
Ekonomi iktisat
Elbise giysi
Emir buyruk
Emniyet güvenlik
Ender nadir
Endişe kaygı
Endüstri sanayi
Enkaz yıkıntı
Enlem paralel
Entari giysi
Enteresan ilginç
Erek amaç
Esas temel
Eser yapıt
Esir tutsak
Etki tesir
Etraf çevre
Evvel önce
Eylem fiil
Eylemsi fiilimsi
Ev konut
Edebiyat yazın
Eda verme
Faaliyet etkinlik
Fakat lakin
Fakat ama
Fakir fukara
Fakir yoksul
Faktör unsur
Fare sıçan
Fark ayrım
Fasıla ara
Fayda yarar
Fazla çok
Fena kötü
Fert birey
Feza uzay
Fiil eylem
Fikir düşünce
File ağ
Füze roket
Felç nüzul
Fer ışık
Faiz nema
Garip acayip
Garp batı
Gaye amaç
Gayret çaba
Gebe hamile
Gelecek ati
Gelecek istikbal
Gelenek anane
Gene yine
Genel umumi
Geri art
Gıda besin
Giysi elbise
Giz sır
Gizli saklı
Görev vazife
Gövde beden
Gramer dilbilgisi
Güç kuvvet zor
Güçlü kuvvetli
Güldürü komedi
Gülünç komik
Güney cenup
Güven itimat
Güz sonbahar
Gözlem rasat
Gökyüzü sema
Gezmek dolaşmak
Hal durum
Halbuki oysa
Ham olmamış
Hane ev
Hareket devinim
Hariç dış
Harp savaş
Hasis pinti
Hasis cimri
Hasret özlem
Hassas duygulu
Hatıra anı
Hayal düş
Hayat yaşam
Haysiyet onur
Hediye armağan
Hekim doktor
Hela wc
Hela tuvalet
Hemen derhal
Hiddet öfke
Hikaye öykü
Hisse pay
Hudut sınır
Hususi özel
Hür özgür
Hısım akraba
Hasım düşman
Hareket devinim
Hadise olay
Ilıca kaplıca
Irak uzak
Irgat rençber
Irk soy
Ira karakter
Irmak nehir
İcat buluş
İç dahil
İçten samimi
İdare yönetim
İhracat dışsatım
İhtiyar yaşlı
İhtiyaç gereksinim
İkaz uyarı
İktisat ekonomi
İlave ek
İlgeç edat
İlgi alaka
İlginç enteresan
İlim bilim
İmar bayındır
İmkan olanak
İsim ad
İskemle sandalye
İthalat dışalım
İtibar saygınlık
İtimat güven
İtina özen
İzah açıklama
İdadi lise
İlan duyuru
İlişki münasebet
İlişki temas
İmtihan sınav
Jeoloji yer
Jeoloji bilimi
Kabiliyet yetenek
Kabus karabasan
Kafa baş
Kafi yeter
Kafiye uyak
Kalite nitelik
Kalp yürek
Kamu halk
Kanıt delil
Kapital sermaye
Kapital anamal
Kanun yasa
Kara siyah
Karşın rağmen
Karşıt zıt
